t,x,y,z,dx,dy,dz,dv_st
9.1776798172568181e+00,-9.9166471634563180e-01,0.0000000000000000e+00,8.9835434801970211e-04,-1.3877049695680923e-11,9.9310140548439785e-03,-2.0615417111981759e-12,2.1663028746843335e-11
1.2236906422977075e+01,-9.9166471634823461e-01,0.0000000000000000e+00,8.9835434823182030e-04,-1.3268540393740046e-11,9.9310140696162730e-03,-5.4910690811617357e-12,2.0990800112485884e-11
1.5296133028840261e+01,-9.9166471635077580e-01,0.0000000000000000e+00,8.9835434881061806e-04,-1.2710195910827795e-11,9.9310140837556293e-03,-1.0398924965721588e-11,2.0507629960775374e-11
1.8355359634860609e+01,-9.9166471635319187e-01,0.0000000000000000e+00,8.9835434988427333e-04,-1.1935136474573315e-11,9.9310140971645700e-03,-1.6696776801635729e-11,1.9799452275037763e-11
2.1414586241030875e+01,-9.9166471635542752e-01,0.0000000000000000e+00,8.9835435157144467e-04,-1.0878138086560280e-11,9.9310141095718674e-03,-2.4268452708134196e-11,1.8753577023744581e-11
2.4473812847344593e+01,-9.9166471635802389e-01,0.0000000000000000e+00,8.9835435394919750e-04,-1.1442798794210319e-11,9.9310141217445747e-03,-3.2888484224888391e-11,2.0305346697568891e-11
2.7533039453740756e+01,-9.9166471636057119e-01,0.0000000000000000e+00,8.9835435712798005e-04,-1.1259147468726366e-11,9.9310141341164559e-03,-4.2571178640467527e-11,2.0778644829988478e-11
3.0592266060221032e+01,-9.9166471636243136e-01,0.0000000000000000e+00,8.9835436123030204e-04,-8.7281105228735698e-12,9.9310141449585609e-03,-5.3333082646087428e-11,1.7695222049951549e-11
3.3651492666844689e+01,-9.9166471636482489e-01,0.0000000000000000e+00,8.9835436627620367e-04,-9.2542565729552542e-12,9.9310141547762631e-03,-6.4739636309255738e-11,1.9405502825975416e-11
3.6710719273514236e+01,-9.9166471636685682e-01,0.0000000000000000e+00,8.9835437236286556e-04,-8.0106546641869826e-12,9.9310141641706373e-03,-7.6802272171727919e-11,1.8421094864606853e-11
3.9769945880242531e+01,-9.9166471636889364e-01,0.0000000000000000e+00,8.9835437952195474e-04,-7.2960765711395717e-12,9.9310141725068579e-03,-8.9311817452953539e-11,1.8291827291250229e-11
4.2829172487008691e+01,-9.9166471637102371e-01,0.0000000000000000e+00,8.9835438778041973e-04,-7.0507739915532308e-12,9.9310141803348184e-03,-1.0208532538183088e-10,1.8913764506578446e-11
4.5888399093776215e+01,-9.9166471637271358e-01,0.0000000000000000e+00,8.9835439718311016e-04,-5.2660878994059343e-12,9.9310141870245783e-03,-1.1506834395576065e-10,1.7162505537271499e-11
4.8947625700568771e+01,-9.9166471637460807e-01,0.0000000000000000e+00,8.9835440770536380e-04,-4.9976417530514365e-12,9.9310141926284290e-03,-1.2794544677033240e-10,1.7753522843122481e-11
5.2006852307330519e+01,-9.9166471637715814e-01,0.0000000000000000e+00,8.9835441930850857e-04,-6.7473968857743893e-12,9.9310141990823775e-03,-1.4051025041597056e-10,2.1451804786920545e-11
