t,x,y,z,dx,dy,dz,dv_st
9.1776798178719652e+00,-9.9149472997449395e-01,3.3503730388419100e-03,5.2572695558066767e-04,1.2958294551703815e-03,6.6187902244957408e-03,-1.7573629010769515e-03,-7.8722368925809862e-12
1.2236906423829288e+01,-9.9149611673763360e-01,3.3384351700377233e-03,5.2685348538044968e-04,1.2880346466846810e-03,6.6409392952766488e-03,-1.7748250065099036e-03,1.3984274119138717e-12
1.5296133029786610e+01,-9.9149724475393719e-01,3.3268784060998128e-03,5.2900249361574777e-04,1.2809947297058844e-03,6.6606760579591695e-03,-1.7946068048482161e-03,1.7447862774133683e-12
1.8355359635743930e+01,-9.9149809386779231e-01,3.3158772669081306e-03,5.3215271872894825e-04,1.2748233559743043e-03,6.6776732594976407e-03,-1.8164724573038605e-03,3.6018900573253626e-13
2.1414586241701251e+01,-9.9149864673010679e-01,3.3056041205910599e-03,5.3626991425550824e-04,1.2696261504245455e-03,6.6916286983825790e-03,-1.8401549870970654e-03,-9.1129913926124566e-14
2.4473812847658571e+01,-9.9149888909319694e-01,3.2962272373378032e-03,5.4130636526625569e-04,1.2654992362227686e-03,6.7022697745975357e-03,-1.8653571183917534e-03,6.5430067479610436e-13
2.7533039453615892e+01,-9.9149881013188057e-01,3.2879085444912463e-03,5.4720050718700156e-04,1.2625276249056175e-03,6.7093584847621734e-03,-1.8917526064054944e-03,1.1326279491186142e-12
3.0592266059573213e+01,-9.9149840278554913e-01,3.2808010786567871e-03,5.5387670672705049e-04,1.2607834875390145e-03,6.7126967938876403e-03,-1.9189882067045781e-03,1.1346768587827682e-12
3.3651492665530533e+01,-9.9149766411036311e-01,3.2750461525377036e-03,5.6124527035420911e-04,1.2603243431344533e-03,6.7121322634332570e-03,-1.9466864275392737e-03,1.5472527593374253e-12
3.6710719271487854e+01,-9.9149659562735482e-01,3.2707702798362632e-03,5.6920274810906058e-04,1.2611912136231288e-03,6.7075637592500792e-03,-1.9744491942955467e-03,1.6354490071535109e-12
3.9769945877445174e+01,-9.9149520364963684e-01,3.2680819315799954e-03,5.7763259828020632e-04,1.2634068081916732e-03,6.6989470085341285e-03,-2.0018625282169438e-03,5.7411380112171178e-13
4.2829172483402495e+01,-9.9149349956703126e-01,3.2670682278872262e-03,5.8640627081687059e-04,1.2669738217887345e-03,6.6862997246875944e-03,-2.0285023005285692e-03,8.9746899902820590e-13
4.5888399089359815e+01,-9.9149150006108944e-01,3.2677916971192681e-03,5.9538475373685604e-04,1.2718734523734657e-03,6.6697059742986120e-03,-2.0539410671179927e-03,2.0607840269804000e-12
4.8947625695317136e+01,-9.9148922722637811e-01,3.2702872614825402e-03,6.0442060606504184e-04,1.2780642346896221e-03,6.6493194319795501e-03,-2.0777559209047753e-03,8.4773637354373935e-13
